FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,ACTIVE
IT,1213110,84400,Y
IT,1213110,84420,Y
IT,1213110,84430,Y
IT,1213110,84440,Y
IT,1213110,84450,Y
IT,1213110,84460,Y
IT,1213110,84470,Y
IT,1213110,84480,Y
IT,1213110,84490,Y
IT,1213110,84500,Y
IT,1213110,84510,Y
IT,1213110,84520,Y
IT,1213110,84530,Y
IT,1213110,84540,Y
IT,1213110,84550,Y
IT,1213110,84570,Y
IT,1213110,84620,Y
IT,1213110,84640,Y
IT,1213110,84650,Y
IT,1213110,84660,Y
IT,1213110,84940,Y
IT,1213110,85310,Y
IT,1213110,85420,Y
IT,1213110,85440,Y
IT,1213110,85490,Y
IT,1213110,85510,Y
IT,1213110,86040,Y
IT,1213110,86050,Y
IT,1213110,86060,Y
IT,1213110,86080,Y
IT,1213110,86120,Y
IT,1213110,86180,Y
IT,1213110,86210,Y
IT,1213110,86300,Y
IT,1213110,86320,Y
IT,1103701,100,Y
IT,1103783,101,Y
IT,1103783,201,Y
IT,1103783,202,Y
IT,1103783,203,Y
IT,1103783,301,Y
IT,1103783,303,Y
IT,1123605,11201,Y
IT,1123606,11202,Y
IT,1123613,11205,Y
IT,1123615,97032,Y
IT,1123625,97033,Y
IT,1123627,97036,Y
IT,1123646,11210,Y
IT,1123650,11207,Y
IT,1123660,97539,Y
IT,1213101,1,Y
IT,1213101,2,Y
IT,1213101,3,Y
IT,1213101,6,Y
IT,1213101,9,Y
IT,1213101,15,Y
IT,1213101,16,Y
IT,1213101,17,Y
IT,1213101,99,Y
IT,1213101,806,Y
IT,1213101,821,Y
IT,1213101,823,Y
IT,1213101,826,Y
IT,1213101,846,Y
IT,1213101,850,Y
IT,1213101,899,Y
IT,1213601,810,Y
IT,1213601,822,Y
IT,1213609,845,Y
IT,1213609,885,Y
IT,1213612,817,Y
IT,1213612,998,Y
IT,1213619,85310,Y
IT,1213718,81000,Y
IT,1213718,81010,Y
IT,1213718,81020,Y
IT,1213718,81200,Y
IT,1213718,81210,Y
IT,1213718,81220,Y
IT,1213718,81230,Y
IT,1213718,82000,Y
IT,1213718,82010,Y
IT,1213718,82100,Y
IT,1213718,82200,Y
IT,1213718,82210,Y
IT,1213718,82220,Y
IT,1213718,82300,Y
IT,1213718,82400,Y
IT,1213718,82410,Y
IT,1213718,82500,Y
IT,1213718,82600,Y
IT,1213718,83020,Y
IT,1213718,83040,Y
IT,1213718,83200,Y
IT,1213718,83210,Y
IT,1213718,83220,Y
IT,1213718,83230,Y
IT,1213718,83240,Y
IT,1213718,83250,Y
IT,1213718,83260,Y
IT,1213718,83270,Y
IT,1213718,83280,Y
IT,1213718,83290,Y
IT,1213718,83300,Y
IT,1213718,83310,Y
IT,1213718,83330,Y
IT,1213718,83340,Y
IT,1213718,83350,Y
IT,1213718,83360,Y
IT,1213718,83370,Y
IT,1213718,83380,Y
IT,1218002,84180,Y
IT,1218002,84190,Y
IT,1218002,84200,Y
IT,1218002,84210,Y
IT,1218002,84220,Y
IT,1218002,84230,Y
IT,1218002,84240,Y
IT,1218002,84250,Y
IT,1218002,84260,Y
IT,1218002,84270,Y
IT,1218002,84280,Y
IT,1218002,84290,Y
IT,1218002,84300,Y
IT,1218002,84310,Y
IT,1218002,84320,Y
IT,1218002,84330,Y
IT,1218002,84350,Y
IT,1218002,84360,Y
IT,1218002,84370,Y
IT,1218002,84400,Y
IT,1218002,84420,Y
IT,1218002,84430,Y
IT,1218002,84440,Y
IT,1218002,84450,Y
IT,1218002,84460,Y
IT,1218002,84470,Y
IT,1218002,84480,Y
IT,1218002,84490,Y
IT,1218002,84500,Y
IT,1218002,84510,Y
IT,1218002,84520,Y
IT,1218002,84530,Y
IT,1218002,84540,Y
IT,1218002,84550,Y
IT,1218002,84570,Y
IT,1218002,84620,Y
IT,1218002,84640,Y
IT,1218002,84650,Y
IT,1218002,84660,Y
IT,1218002,84940,Y
IT,1218002,85310,Y
IT,1218002,85420,Y
IT,1218002,85440,Y
IT,1218002,85490,Y
IT,1218002,85510,Y
IT,1218016,857,Y
IT,1213718,83400,Y
IT,1213718,83420,Y
IT,1213718,83440,Y
IT,1213718,83460,Y
IT,1213718,83470,Y
IT,1213718,84010,Y
IT,1213718,84020,Y
IT,1213718,84030,Y
IT,1213718,84040,Y
IT,1213718,84050,Y
IT,1213718,84060,Y
IT,1213718,84100,Y
IT,1213718,84110,Y
IT,1213718,84120,Y
IT,1213718,84130,Y
IT,1213718,84140,Y
IT,1213718,84150,Y
IT,1213718,84160,Y
IT,1213718,84170,Y
IT,1213718,84180,Y
IT,1213718,84190,Y
IT,1213718,84200,Y
IT,1213718,84210,Y
IT,1213718,84220,Y
IT,1213718,84230,Y
IT,1213718,84240,Y
IT,1213718,84250,Y
IT,1213718,84260,Y
IT,1213718,84270,Y
IT,1213718,84280,Y
IT,1213718,84290,Y
IT,1213718,84300,Y
IT,1213718,84310,Y
IT,1213718,84320,Y
IT,1213718,84330,Y
IT,1213718,84350,Y
IT,1213718,84360,Y
IT,1213718,84370,Y
IT,1213718,84400,Y
IT,1213718,84420,Y
IT,1213718,84430,Y
IT,1213718,84440,Y
IT,1213718,84450,Y
IT,1213718,84460,Y
IT,1213718,84470,Y
IT,1213718,84480,Y
IT,1213718,84490,Y
IT,1213718,84500,Y
IT,1213718,84510,Y
IT,1213718,84520,Y
IT,1213718,84530,Y
IT,1213718,84540,Y
IT,1213718,84550,Y
IT,1213718,84570,Y
IT,1213718,84620,Y
IT,1213718,84640,Y
IT,1213718,84650,Y
IT,1213718,84660,Y
IT,1213718,84940,Y
IT,1213718,85310,Y
IT,1213718,85420,Y
IT,1213718,85440,Y
IT,1213718,85490,Y
IT,1213718,85510,Y
IT,1218002,81000,Y
IT,1218002,81010,Y
IT,1218002,81020,Y
IT,1218002,81200,Y
IT,1218002,81210,Y
IT,1218002,81220,Y
IT,1218002,81230,Y
IT,1218002,82000,Y
IT,1218002,82010,Y
IT,1218002,82100,Y
IT,1218002,82200,Y
IT,1218002,82210,Y
IT,1218002,82220,Y
IT,1218002,82300,Y
IT,1218002,82400,Y
IT,1218002,82410,Y
IT,1218002,82500,Y
IT,1218002,82600,Y
IT,1218002,83020,Y
IT,1218002,83040,Y
IT,1218002,83200,Y
IT,1218002,83210,Y
IT,1218002,83220,Y
IT,1218002,83230,Y
IT,1218002,83240,Y
IT,1218002,83250,Y
IT,1218002,83260,Y
IT,1218002,83270,Y
IT,1218002,83280,Y
IT,1218002,83290,Y
IT,1218002,83300,Y
IT,1218002,83310,Y
IT,1218002,83330,Y
IT,1218002,83340,Y
IT,1218002,83350,Y
IT,1218002,83360,Y
IT,1218002,83370,Y
IT,1218002,83380,Y
IT,1218002,83400,Y
IT,1218002,83420,Y
IT,1218002,83440,Y
IT,1218002,83460,Y
IT,1218002,83470,Y
IT,1218002,84010,Y
